uri,subtitle,tags,url,uid,shared,type
Haskell Syntax Guide,A quick deep dive,"home,lang,tech",https://prajitr.github.io/quick-haskell-syntax/,119,2020-4-26,
how to make mead,"Mead, melomel, cyser - comes from honey, water","home,kitchen",https://www.growforagecookferment.com/how-to-make-a-gallon-of-mead/,118,2020-4-26,
fermented honey garlic,"Raw honey, garlic, ferment in a jar","home,kitchen",https://www.growforagecookferment.com/fermented-honey-garlic/,117,2020-4-26,
andy jones bread,Simple bread recipe for quarantine time,"home,kitchen",https://andyljones.com/posts/bread.html,116,2020-4-26,
how to cook burdock,Burdock is a nutty root vegetable,"home,kitchen",https://www.growforagecookferment.com/how-to-cook-burdock-root/,115,2020-4-26,
japanese preserves,"M: Preserving, the japanese way","home,kitchen",https://merveilles.town/@rek/103922180102362711,114,2020-4-26,
Processing,Software sketchbook language,"home,coding,language",https://processing.org/,113,2020-4-25,
notes on notes,p13k's notes on notes and note taking,home,https://p1k3.com/notes-on-notes/,112,2020-4-26,
24 inch shelf brackets,Want these for a table in our tiny house,home,https://www.amazon.com/dp/B07VXWBHWF/,111,2020-4-26,
Music for Programming,Compilation of music to listen to while coding,home,http://musicforprogramming.net/,110,2020-4-26,
linkalot,Guy writes local link saving web ui,home,https://gitlab.com/dmpop/linkalot/-/tree/master,109,2020-4-26,
rope ladder knots,You can use these knots to make a rope ladder,home,https://www.youtube.com/watch?v=sBsZ1mfcEMg,108,2020-4-26,
font face tool,font editing tool in the web,"graphics,tech",https://face.constraint.systems/,107,2020-4-26,
Nata Xlat,Photographs old computers - beautiful,"graphics,tech",https://www.flickr.com/photos/xlat8086/albums,106,2020-4-26,
flif,open source image format,"graphics,tech",https://flif.info/,105,2020-4-26,
Gradient Ascent,Visualize CNNs with gradient ascent,"graphics,ml,tech",https://keras.io/examples/conv_filter_visualization/,104,2020-4-26,
raytracing essentials,weekly info on ray tracing,"graphics,math,tech",https://news.developer.nvidia.com/ray-tracing-essentials-part-1-basics-of-ray-tracing/,103,2020-4-26,
flow fields,a tool for producing interesting curves,"graphics,home,tech",https://tylerxhobbs.com/essays/2020/flow-fields,102,2020-4-26,
open image libraries,Open access image libraries,"graphics,home",https://www.apollo-magazine.com/open-access-image-libraries-a-handy-list/,101,2020-4-26,
asciinema,Record your terminal to JSON and render it out,"graphics,home",https://asciinema.org/,100,2020-4-26,
face modeling,3D Modeling and topology of faces (reference),"graphics,home",https://www.thundercloud-studio.com/face-modeling/,99,2020-4-26,
overview of typography,visual overview of typographic terms,graphics,http://thinkingwithtype.com/letter/,98,2020-4-26,
display-p3,p3 gamut colors in css,graphics,https://webkit.org/blog/10042/wide-gamut-color-in-css-with-display-p3/,97,2020-4-26,
portamill,Turn your chainsaww into a sawmill,"gear,home,woodworking",https://www.norwoodsawmills.com/en_ca/portamill-pm14,96,2020-4-26,
build a keyboard,YT: How to build a 60% keyboard,"gear,home,tech",https://www.youtube.com/watch?v=W0FSvTYlggw,95,2020-4-26,
soldering products,Recommended soldering products from input club,"gear,home,tech",https://input.club/recommended-soldering-products/,94,2020-4-26,
